Country,State of Civilian Rule
Algeria,Civilian rule
Angola,Civilian rule
Benin,Civilian rule
Botswana,Civilian rule
Burkina Faso,Military regime
Burundi,Civilian rule
Cabo Verde,Civilian rule
Cameroon,Civilian rule
CAR,Civilian rule
Chad,Civilian rule
Comoros,Civilian rule
Congo,Civilian rule
Cote-d'Ivoire,Civilian rule
Djibouti,Civilian rule
DRC,Civilian rule
Egypt,Civilian rule
Equatorial Guinea,Civilian rule
Eritrea,Civilian rule
Eswatini,Civilian rule
Ethiopia,Civilian rule
Gabon,Civilian rule
Gambia,Civilian rule
Ghana,Civilian rule
Guinea,Military regime
Guinea-Bissau,Civilian rule
Kenya,Civilian rule
Lesotho,Civilian rule
Liberia,Civilian rule
Libya,Active civil war
Madagascar,Civilian rule
Malawi,Civilian rule
Mali,Military regime
Mauritania,Civilian rule
Mauritius,Civilian rule
Morocco,Civilian rule
Mozambique,Civilian rule
Namibia,Civilian rule
Niger,Military regime
Nigeria,Civilian rule
Rwanda,Civilian rule
Sao Tome and Principe,Civilian rule
Senegal,Civilian rule
Seychelles,Civilian rule
Sierra Leone,Civilian rule
Somalia,Civilian rule
Somaliland,Civilian rule
South Africa,Civilian rule
South Sudan,Civilian rule
Sudan,Active civil war
Tanzania,Civilian rule
Togo,Civilian rule
Tunisia,Civilian rule
Uganda,Civilian rule
Western Sahara,Civilian rule
Zambia,Civilian rule
Zimbabwe,Civilian rule
