Country,African Map Democracy Age
Algeria,20-39 yrs
Angola,20-39 yrs
Benin,20-39 yrs
Botswana,60-79 yrs
Burkina Faso,Non-democracy
Burundi,10-19 yrs
Cabo Verde,20-39 yrs
Cameroon,20-39 yrs
CAR,10-19 yrs
Chad,20-39 yrs
Comoros,20-39 yrs
Congo,20-39 yrs
Cote-d'Ivoire,20-39 yrs
Djibouti,20-39 yrs
DRC,60-79 yrs
Egypt,10-19 yrs
Equatorial Guinea,10-19 yrs
Eritrea,Non-democracy
Eswatini,40-59 yrs
Ethiopia,20-39 yrs
Gabon,<10 yrs
Gambia,40-59 yrs
Ghana,20-39 yrs
Guinea,Non-democracy
Guinea-Bissau,10-19 yrs
Kenya,20-39 yrs
Lesotho,20-39 yrs
Liberia,20-39 yrs
Libya,Non-democracy
Madagascar,<10 yrs
Malawi,20-39 yrs
Mali,Non-democracy
Mauritania,10-19 yrs
Mauritius,20-39 yrs
Morocco,Non-democracy
Mozambique,20-39 yrs
Namibia,20-39 yrs
Niger,Non-democracy
Nigeria,20-39 yrs
Rwanda,20-39 yrs
Sao Tome and Principe,20-39 yrs
Senegal,40-59 yrs
Seychelles,20-39 yrs
Sierra Leone,20-39 yrs
Somalia,20-39 yrs
Somaliland,20-39 yrs
South Africa,20-39 yrs
South Sudan,Non-democracy
Sudan,Non-democracy
Tanzania,20-39 yrs
Togo,20-39 yrs
Tunisia,20-39 yrs
Uganda,20-39 yrs
Western Sahara,Non-democracy
Zambia,20-39 yrs
Zimbabwe,20-39 yrs
