Country,Population
Algeria,46164219
Angola,36749906
Benin,14111034
Botswana,2480245
Burkina Faso,23025776
Burundi,13689450
Cabo Verde,522331
Cameroon,28372687
CAR,5152421
Chad,19319064
Comoros,850387
Congo,6182885
Cote-d'Ivoire,31165654
Djibouti,1152944
DRC,105789732
Egypt,114535772
Equatorial Guinea,1847549
Eritrea,3470390
Eswatini,1230506
Ethiopia,128691692
Gabon,2484789
Gambia,2697846
Ghana,33787914
Guinea,14405468
Guinea-Bissau,2153339
Kenya,55339003
Lesotho,2311472
Liberia,5493031
Libya,7305659
Madagascar,31195933
Malawi,21104483
Mali,23769128
Mauritania,5022442
Mauritius,1273588
Morocco,37712505
Mozambique,33635160
Namibia,2963095
Niger,26159867
Nigeria,227882945
Rwanda,13954472
Sao Tome and Principe,230872
Senegal,18077574
Seychelles,127951
Sierra Leone,8460512
Somalia,18358615
Somaliland,
South Africa,63212384
South Sudan,11483374
Sudan,50042791
Tanzania,66617606
Togo,9304338
Tunisia,12200431
Uganda,48656602
Western Sahara,579729
Zambia,20723965
Zimbabwe,16340822
