Country,Democracy
Algeria,Authoritarian
Angola,Hybrid
Benin,Hybrid
Botswana,Flawed Democracy
Burkina Faso,Authoritarian
Burundi,Authoritarian
Cabo Verde,Flawed Democracy
Cameroon,Authoritarian
CAR,Authoritarian
Chad,Authoritarian
Comoros,Authoritarian
Congo,Authoritarian
Cote-d'Ivoire,Hybrid
Djibouti,Authoritarian
DRC,Authoritarian
Egypt,Authoritarian
Equatorial Guinea,Authoritarian
Eritrea,Authoritarian
Eswatini,Authoritarian
Ethiopia,Authoritarian
Gabon,Authoritarian
Gambia,Hybrid
Ghana,Flawed Democracy
Guinea,Authoritarian
Guinea-Bissau,Authoritarian
Kenya,Hybrid
Lesotho,Flawed Democracy
Liberia,Hybrid
Libya,Authoritarian
Madagascar,Hybrid
Malawi,Hybrid
Mali,Authoritarian
Mauritania,Authoritarian
Mauritius,Full Democracy
Morocco,Hybrid
Mozambique,Authoritarian
Namibia,Flawed Democracy
Niger,Authoritarian
Nigeria,Hybrid
Rwanda,Authoritarian
Sao Tome and Principe,Excluded from index
Senegal,Hybrid
Seychelles,Excluded from index
Sierra Leone,Hybrid
Somalia,Excluded from index
Somaliland,Excluded from index
South Africa,Flawed Democracy
South Sudan,Excluded from index
Sudan,Authoritarian
Tanzania,Hybrid
Togo,Authoritarian
Tunisia,Hybrid
Uganda,Hybrid
Western Sahara,Excluded from index
Zambia,Hybrid
Zimbabwe,Authoritarian
