Country,GDP
Algeria,247626161016
Angola,84824654482
Benin,19676049076
Botswana,19396084498
Burkina Faso,20324617845
Burundi,2642161669
Cabo Verde,2533819406
Cameroon,49279410983
CAR,2555492085
Chad,13149325362
Comoros,1352380971
Congo,15321055823
Cote-d'Ivoire,78875489245
Djibouti,4098530514
DRC,66383287003
Egypt,396002496997
Equatorial Guinea,12337550584
Eritrea,
Eswatini,4442875788
Ethiopia,163697927594
Gabon,19388402542
Gambia,2396111022
Ghana,76370396722
Guinea,22199409741
Guinea-Bissau,2048348108
Kenya,108038588971
Lesotho,2117962451
Liberia,4240000000
Libya,45096462972
Madagascar,15790113247
Malawi,12712150082
Mali,20661794596
Mauritania,10651709411
Mauritius,14644524819
Morocco,144417103250
Mozambique,20954220984
Namibia,12351025067
Niger,16819170421
Nigeria,363846332835
Rwanda,14097768472
Sao Tome and Principe,678976265
Senegal,30848333084
Seychelles,2141450171
Sierra Leone,6411869546
Somalia,10968517090
Somaliland,
South Africa,380699271815
South Sudan,
Sudan,109265503111
Tanzania,79062403821
Togo,9171261838
Tunisia,48529595417
Uganda,48768955863
Western Sahara,
Zambia,27577956471
Zimbabwe,35231367886
